Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Belgium,BEL,1848,8284304,8.284304,0,0,0,0,0,1.895288
Denmark,DNK,1848,311440,0.311440,0,0,0,0,0,0.211864
France,FRA,1848,16689520,16.689520,0,0,0,0,0,0.462454
Germany,DEU,1848,12827664,12.827664,0,0,0,0,0,0.385342
Netherlands,NLD,1848,3649344,3.649344,0,0,0,0,0,1.189099
Norway,NOR,1848,131904,0.131904,0,0,0,0,0,0.096748
Spain,ESP,1848,293120,0.293120,0,0,0,0,0,0.019944
Sweden,SWE,1848,139232,0.139232,0,0,0,0,0,0.041193
United Kingdom,GBR,1848,109286128,109.286128,0,0,0,0,0,3.947770
Austria,AUT,1849,2260688,2.260688,0,0,0,0,0,0.575825
Belgium,BEL,1849,8734976,8.734976,0,0,0,0,0,1.981619
Denmark,DNK,1849,271136,0.271136,0,0,0,0,0,0.182706
France,FRA,1849,17385680,17.385680,0,0,0,0,0,0.480015
Germany,DEU,1849,13622752,13.622752,0,0,0,0,0,0.407233
Netherlands,NLD,1849,3330576,3.330576,0,0,0,0,0,1.082762
Norway,NOR,1849,106256,0.106256,0,0,0,0,0,0.077186
Spain,ESP,1849,326096,0.326096,0,0,0,0,0,0.022041
Sweden,SWE,1849,194192,0.194192,0,0,0,0,0,0.056798
United Kingdom,GBR,1849,116005904,116.005904,0,0,0,0,0,4.229316
Austria,AUT,1850,2326640,2.326640,0,0,0,0,0,0.589023
Belgium,BEL,1850,9332208,9.332208,0,0,0,0,0,2.097597
Denmark,DNK,1850,340752,0.340752,0,0,0,0,0,0.227320
France,FRA,1850,19617056,19.617056,0,0,0,0,0,0.539671
Germany,DEU,1850,15139648,15.139648,0,0,0,0,0,0.448635
Ireland,IRL,1850,395712,0.395712,0,0,0,0,0,0.057533
Netherlands,NLD,1850,3136384,3.136384,0,0,0,0,0,1.012390
Norway,NOR,1850,139232,0.139232,0,0,0,0,0,0.100027
Spain,ESP,1850,494640,0.494640,0,0,0,0,0,0.033211
Sweden,SWE,1850,201520,0.201520,0,0,0,0,0,0.058209
United Kingdom,GBR,1850,122604768,122.604768,0,0,0,0,0,4.510679
Austria,AUT,1851,2333968,2.333968,0,0,0,0,0,0.586719
Belgium,BEL,1851,10167600,10.167600,0,0,0,0,0,2.271074
Denmark,DNK,1851,311440,0.311440,0,0,0,0,0,0.205300
France,FRA,1851,20038416,20.038416,0,0,0,0,0,0.549314
Germany,DEU,1851,16869056,16.869056,0,0,0,0,0,0.495347
Netherlands,NLD,1851,3118064,3.118064,0,0,0,0,0,0.995233
Norway,NOR,1851,150224,0.150224,0,0,0,0,0,0.106625
Spain,ESP,1851,509296,0.509296,0,0,0,0,0,0.034012
Sweden,SWE,1851,216176,0.216176,0,0,0,0,0,0.061765
United Kingdom,GBR,1851,116654432,116.654432,0,0,0,0,0,4.329354
Austria,AUT,1852,2810288,2.810288,0,0,0,0,0,0.701520
Belgium,BEL,1852,11409696,11.409696,0,0,0,0,0,2.532112
Denmark,DNK,1852,333424,0.333424,0,0,0,0,0,0.217073
France,FRA,1852,21569968,21.569968,0,0,0,0,0,0.589199
Germany,DEU,1852,19173712,19.173712,0,0,0,0,0,0.559163
Netherlands,NLD,1852,3762928,3.762928,0,0,0,0,0,1.188168
Norway,NOR,1852,150224,0.150224,0,0,0,0,0,0.105385
Spain,ESP,1852,534944,0.534944,0,0,0,0,0,0.035533
Sweden,SWE,1852,216176,0.216176,0,0,0,0,0,0.061257
United Kingdom,GBR,1852,116240400,116.240400,0,0,0,0,0,4.293116
Austria,AUT,1853,3224320,3.224320,0,0,0,0,0,0.799088
Belgium,BEL,1853,11787088,11.787088,0,0,0,0,0,2.599711
Denmark,DNK,1853,359072,0.359072,0,0,0,0,0,0.231361
France,FRA,1853,25340224,25.340224,0,0,0,0,0,0.689736
Germany,DEU,1853,20760224,20.760224,0,0,0,0,0,0.603109
Netherlands,NLD,1853,4169632,4.169632,0,0,0,0,0,1.305458
Norway,NOR,1853,164880,0.164880,0,0,0,0,0,0.114519
Spain,ESP,1853,652192,0.652192,0,0,0,0,0,0.043089
Sweden,SWE,1853,227168,0.227168,0,0,0,0,0,0.063955
United Kingdom,GBR,1853,115599200,115.599200,0,0,0,0,0,4.242484
Austria,AUT,1854,3176688,3.176688,0,0,0,0,0,0.781858
Belgium,BEL,1854,13058496,13.058496,0,0,0,0,0,2.861822
Denmark,DNK,1854,458000,0.458000,0,0,0,0,0,0.291906
France,FRA,1854,29213072,29.213072,0,0,0,0,0,0.792348
Germany,DEU,1854,24365600,24.365600,0,0,0,0,0,0.705615
Netherlands,NLD,1854,5946672,5.946672,0,0,0,0,0,1.847940
Norway,NOR,1854,234496,0.234496,0,0,0,0,0,0.160942
Spain,ESP,1854,549600,0.549600,0,0,0,0,0,0.036118
Sweden,SWE,1854,337088,0.337088,0,0,0,0,0,0.094001
United Kingdom,GBR,1854,139301616,139.301616,0,0,0,0,0,5.075480
Austria,AUT,1855,3700640,3.700640,0,0,0,0,0,0.904360
Belgium,BEL,1855,13377264,13.377264,0,0,0,0,0,2.913167
Denmark,DNK,1855,454336,0.454336,0,0,0,0,0,0.285746
France,FRA,1855,33071264,33.034624,0.036640,0,0,0,0,0.893818
Germany,DEU,1855,28615840,28.615840,0,0,0,0,0,0.827382
Netherlands,NLD,1855,4649616,4.649616,0,0,0,0,0,1.437285
Norway,NOR,1855,256480,0.256480,0,0,0,0,0,0.173447
