Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
India,IND,1888,3409556,2.973969,0.435587,0,0,0,0,0.012399
Germany,DEU,1820,3381872,3.381872,0,0,0,0,0,0.135791
Japan,JPN,1885,3348896,3.165896,0.183000,0,0,0,0,0.087150
Germany,DEU,1824,3231648,3.231648,0,0,0,0,0,0.122844
India,IND,1887,3066019,2.721979,0.344040,0,0,0,0,0.011243
Japan,JPN,1884,2956848,2.777312,0.179536,0,0,0,0,0.077530
India,IND,1886,2772064,2.416656,0.355408,0,0,0,0,0.010251
India,IND,1884,2730015,2.433231,0.296784,0,0,0,0,0.010265
Japan,JPN,1883,2711360,2.480216,0.231144,0,0,0,0,0.071794
Japan,JPN,1882,2513504,2.311984,0.201520,0,0,0,0,0.067181
India,IND,1885,2459404,2.254220,0.205184,0,0,0,0,0.009171
India,IND,1883,2440909,2.290685,0.150224,0,0,0,0,0.009255
Japan,JPN,1881,2414576,2.330304,0.084272,0,0,0,0,0.065062
Japan,JPN,1880,2348624,2.198400,0.150224,0,0,0,0,0.063809
Japan,JPN,1879,2315648,2.147370,0.168278,0,0,0,0,0.063343
India,IND,1882,2196295,1.969127,0.227168,0,0,0,0,0.008398
India,IND,1880,1886776,1.776856,0.109920,0,0,0,0,0.007336
Japan,JPN,1878,1857648,1.747728,0.109920,0,0,0,0,0.051154
India,IND,1881,1839335,1.740228,0.099108,0,0,0,0,0.007092
India,IND,1878,1766911,1.766911,0,0,0,0,0,0.006892
India,IND,1879,1684384,1.611104,0.073280,0,0,0,0,0.006560
Japan,JPN,1875,1439952,1.410640,0.029312,0,0,0,0,0.040635
Japan,JPN,1876,1403312,1.374000,0.029312,0,0,0,0,0.039294
Japan,JPN,1877,1289728,1.260416,0.029312,0,0,0,0,0.035808
India,IND,1860,643116,0.643116,0,0,0,0,0,0.002633
India,IND,1866,639801,0.639801,0,0,0,0,0,0.002565
India,IND,1859,636486,0.636486,0,0,0,0,0,0.002615
India,IND,1863,609965,0.609965,0,0,0,0,0,0.002471
Japan,JPN,1874,586240,0.575248,0.010992,0,0,0,0,0.016638
India,IND,1864,576815,0.576815,0,0,0,0,0,0.002329
India,IND,1865,566870,0.566870,0,0,0,0,0,0.002280
India,IND,1862,550295,0.550295,0,0,0,0,0,0.002237
India,IND,1861,497254,0.497254,0,0,0,0,0,0.002029
India,IND,1858,394488,0.394488,0,0,0,0,0,0.001627
Japan,JPN,1873,40304,0.029312,0.010992,0,0,0,0,0.001149
Japan,JPN,1872,32976,0.029312,0.003664,0,0,0,0,0.000946
Japan,JPN,1871,25648,0.022442,0.003206,0,0,0,0,0.000740
Japan,JPN,1869,18320,0.018320,0,0,0,0,0,0.000534
Japan,JPN,1870,18320,0.018320,0,0,0,0,0,0.000532
Japan,JPN,1868,10992,0.010992,0,0,0,0,0,0.000322
