Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,latitude,longitude
Luxembourg,LUX,2021,8354555,0.209190,6.125559,1.571392,0.399139,0.000037,0.049238,13.067857,49.815273,6.129583
Macau,MAC,2021,1286771,0,1.037230,0.249541,0,0,0,1.874101,22.198745,113.543873
Madagascar,MDG,2021,4244355,1.468185,2.687047,0,0.089123,0,0,0.146784,-18.766947,46.869107
Malawi,MWI,2021,1552193,0.226761,1.231271,0,0.094161,0,0,0.078040,-13.254308,34.301525
Malaysia,MYS,2021,256048939,85.794767,71.102631,82.002525,13.385331,3.763685,0,7.626434,4.210484,101.975766
Maldives,MDV,2021,2118174,0,2.118174,0,0,0,0,4.062030,3.202778,73.22068
Mali,MLI,2021,4169758,0,3.782265,0,0.387493,0,0,0.190357,17.570692,-3.996166
Malta,MLT,2021,1724154,0.000000,0.880683,0.843280,0,0,0.000191,3.273205,35.937496,14.375416
Marshall Islands,MHL,2021,158962,0,0.158962,0,0,0,0,3.780319,7.131474,171.184478
Martinique,MTQ,2021,2100146,0,2.100146,0,0,0,0,5.694600,14.641528,-61.024174
Mauritania,MRT,2021,4118111,0,4.118111,0,0,0,0,0.892337,21.00789,-10.940835
Mauritius,MUS,2021,4471674,1.637295,2.834379,0,0,0,0,3.442622,-20.348404,57.552152
Mayotte,MYT,2021,273281,0,0.273281,0,0,0,0,0.864775,-12.8275,45.166244
Mexico,MEX,2021,407205037,19.360577,195.715517,157.552711,22.339198,12.237033,0,3.213801,23.634501,-102.552784
Moldova,MDA,2021,5601510,0.416131,2.612844,1.936286,0.636249,0,0,1.829658,47.411631,28.369885
Mongolia,MNG,2021,50315914,44.400088,5.428566,0,0.487261,0,0,15.029627,46.862496,103.846656
Montenegro,MNE,2021,1751386,0.786839,0.964547,0,0,0,0,2.789458,42.708678,19.37439
Montserrat,MSR,2021,20678,0,0.020678,0,0,0,0,4.681398,16.742498,-62.187366
Morocco,MAR,2021,70577665,27.844789,36.158632,1.573744,5.000500,0,0,1.903564,31.791702,-7.09262
Mozambique,MOZ,2021,7156209,0.049964,4.170887,1.924001,1.011357,0,0,0.223094,-18.665695,35.529562
Namibia,NAM,2021,4014822,0.048576,3.446255,0,0.519991,0,0,1.586792,-22.95764,18.49041
Nauru,NRU,2021,59611,0,0.059611,0,0,0,0,4.764679,-0.522778,166.931503
Nepal,NPL,2021,14173067,3.642545,6.767824,0,3.762698,0,0,0.471885,28.394857,84.124008
Netherlands,NLD,2021,141045431,23.000830,47.937075,68.082747,0.006337,0.925194,1.093249,8.058958,52.132633,5.291266
New Caledonia,NCL,2021,5496273,2.641332,2.825557,0,0.029384,0,0,19.097542,-20.904305,165.618042
New Zealand,NZL,2021,33789825,6.751966,18.649909,6.657892,0.379157,0.780728,0.570172,6.587061,-40.900557,174.885971
Nicaragua,NIC,2021,5059770,0,4.827160,0,0.232610,0,0,0.738594,12.865416,-85.207229
Niger,NER,2021,2698898,0.341988,2.163008,0,0.100748,0.093154,0,0.106876,17.607789,8.081666
Nigeria,NGA,2021,136986784,0.153703,74.973605,40.643656,8.757343,12.458478,0,0.641921,9.081999,8.675277
Niue,NIU,2021,11922,0,0.011922,0,0,0,0,6.154972,-19.054445,-169.867233
North Korea,PRK,2021,56380104,50.454114,3.445510,0,2.480480,0,0,2.170811,40.339852,127.510093
Norway,NOR,2021,40918553,4.177600,21.477984,12.672833,0.701255,1.518860,0.370020,7.565853,60.472024,8.468946
Oman,OMN,2021,80991181,0,12.195087,62.327405,1.816159,4.652530,0,17.916536,21.512583,55.923255
Pakistan,PAK,2021,229512397,59.956542,74.983799,75.509501,18.620774,0.441781,0,0.991834,30.375321,69.345116
Palau,PLW,2021,238444,0,0.238444,0,0,0,0,13.229228,7.51498,134.58252
Palestinian Territories,PSE,2021,3092231,0,3.092231,0,0,0,0,0.602376,31.952162,35.233154
Panama,PAN,2021,13031620,2.924487,8.625756,0.911482,0.569895,0,0,2.994902,8.537981,-80.782127
